Sample	Treatment	Time	Plant	Tr_Ti	Tr_Pl	Ti_Pl	Tr_Ti_Pl	Name
sample101	O	T0	Unplanted	O_T0	O_Unplanted	T0_Unplanted	O_T0_Unplanted	sample101
sample102	C	T0	Unplanted	C_T0	C_Unplanted	T0_Unplanted	C_T0_Unplanted	sample102
sample103	M	T0	Unplanted	M_T0	M_Unplanted	T0_Unplanted	M_T0_Unplanted	sample103
sample104	SS	T0	Unplanted	SS_T0	SS_Unplanted	T0_Unplanted	SS_T0_Unplanted	sample104
sample105	W	T0	Unplanted	W_T0	W_Unplanted	T0_Unplanted	W_T0_Unplanted	sample105
sample111	O	T1	Unplanted	O_T1	O_Unplanted	T1_Unplanted	O_T1_Unplanted	sample111
sample112	C	T1	Unplanted	C_T1	C_Unplanted	T1_Unplanted	C_T1_Unplanted	sample112
sample113	M	T1	Unplanted	M_T1	M_Unplanted	T1_Unplanted	M_T1_Unplanted	sample113
sample114	SS	T1	Unplanted	SS_T1	SS_Unplanted	T1_Unplanted	SS_T1_Unplanted	sample114
sample115	W	T1	Unplanted	W_T1	W_Unplanted	T1_Unplanted	W_T1_Unplanted	sample115
sample121	C	T2	Unplanted	C_T2	C_Unplanted	T2_Unplanted	C_T2_Unplanted	sample121
sample122	M	T2	Unplanted	M_T2	M_Unplanted	T2_Unplanted	M_T2_Unplanted	sample122
sample123	O	T2	Unplanted	O_T2	O_Unplanted	T2_Unplanted	O_T2_Unplanted	sample123
sample124	W	T2	Unplanted	W_T2	W_Unplanted	T2_Unplanted	W_T2_Unplanted	sample124
sample201	SS	T2	Unplanted	SS_T2	SS_Unplanted	T2_Unplanted	SS_T2_Unplanted	sample201
sample207	P	T1	Unplanted	P_T1	P_Unplanted	T1_Unplanted	P_T1_Unplanted	sample207
sample208	PCE	T1	Unplanted	PCE_T1	PCE_Unplanted	T1_Unplanted	PCE_T1_Unplanted	sample208
sample211	PCE	T0	Unplanted	PCE_T0	PCE_Unplanted	T0_Unplanted	PCE_T0_Unplanted	sample211
sample212	P	T0	Unplanted	P_T0	P_Unplanted	T0_Unplanted	P_T0_Unplanted	sample212
sample213	O	T3	Unplanted	O_T3	O_Unplanted	T3_Unplanted	O_T3_Unplanted	sample213
sample214	C	T3	Unplanted	C_T3	C_Unplanted	T3_Unplanted	C_T3_Unplanted	sample214
sample215	M	T3	Unplanted	M_T3	M_Unplanted	T3_Unplanted	M_T3_Unplanted	sample215
sample216	W	T3	Unplanted	W_T3	W_Unplanted	T3_Unplanted	W_T3_Unplanted	sample216
sample217	SS	T3	Unplanted	SS_T3	SS_Unplanted	T3_Unplanted	SS_T3_Unplanted	sample217
sample222	P	T2	Unplanted	P_T2	P_Unplanted	T2_Unplanted	P_T2_Unplanted	sample222
sample223	PCE	T2	Unplanted	PCE_T2	PCE_Unplanted	T2_Unplanted	PCE_T2_Unplanted	sample223
sample301	PCE	T3	Unplanted	PCE_T3	PCE_Unplanted	T3_Unplanted	PCE_T3_Unplanted	sample301
sample303	P	T3	Unplanted	P_T3	P_Unplanted	T3_Unplanted	P_T3_Unplanted	sample303
sample305	O	T4	Unplanted	O_T4	O_Unplanted	T4_Unplanted	O_T4_Unplanted	sample305
sample306	C	T4	Unplanted	C_T4	C_Unplanted	T4_Unplanted	C_T4_Unplanted	sample306
sample307	M	T4	Unplanted	M_T4	M_Unplanted	T4_Unplanted	M_T4_Unplanted	sample307
sample308	W	T4	Unplanted	W_T4	W_Unplanted	T4_Unplanted	W_T4_Unplanted	sample308
sample309	SS	T4	Unplanted	SS_T4	SS_Unplanted	T4_Unplanted	SS_T4_Unplanted	sample309
sample315	O	T5	Unplanted	O_T5	O_Unplanted	T5_Unplanted	O_T5_Unplanted	sample315
sample316	C	T5	Unplanted	C_T5	C_Unplanted	T5_Unplanted	C_T5_Unplanted	sample316
sample317	M	T5	Unplanted	M_T5	M_Unplanted	T5_Unplanted	M_T5_Unplanted	sample317
sample318	W	T5	Unplanted	W_T5	W_Unplanted	T5_Unplanted	W_T5_Unplanted	sample318
sample319	SS	T5	Unplanted	SS_T5	SS_Unplanted	T5_Unplanted	SS_T5_Unplanted	sample319
sample320	P	T4	Unplanted	P_T4	P_Unplanted	T4_Unplanted	P_T4_Unplanted	sample320
sample321	PCE	T4	Unplanted	PCE_T4	PCE_Unplanted	T4_Unplanted	PCE_T4_Unplanted	sample321
sample401	O	T6	Unplanted	O_T6	O_Unplanted	T6_Unplanted	O_T6_Unplanted	sample401
sample402	C	T6	Unplanted	C_T6	C_Unplanted	T6_Unplanted	C_T6_Unplanted	sample402
sample403	M	T6	Unplanted	M_T6	M_Unplanted	T6_Unplanted	M_T6_Unplanted	sample403
sample404	SS	T6	Unplanted	SS_T6	SS_Unplanted	T6_Unplanted	SS_T6_Unplanted	sample404
sample405	W	T6	Unplanted	W_T6	W_Unplanted	T6_Unplanted	W_T6_Unplanted	sample405
sample406	P	T5	Unplanted	P_T5	P_Unplanted	T5_Unplanted	P_T5_Unplanted	sample406
sample407	PCE	T5	Unplanted	PCE_T5	PCE_Unplanted	T5_Unplanted	PCE_T5_Unplanted	sample407
sample409	PCE	T6	Unplanted	PCE_T6	PCE_Unplanted	T6_Unplanted	PCE_T6_Unplanted	sample409
sample410	P	T6	Unplanted	P_T6	P_Unplanted	T6_Unplanted	P_T6_Unplanted	sample410
